Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Customer_Segment
CUST001,39,1,150,5,1,3,9,Potential Customers
CUST002,309,1,1000,1,1,4,6,Churn Risk Customers
CUST003,354,1,30,1,1,1,3,Churn Risk Customers
CUST004,226,1,500,2,1,4,7,Churn Risk Customers
CUST005,241,1,100,2,1,2,5,Churn Risk Customers
CUST006,252,1,30,2,1,1,4,Churn Risk Customers
CUST007,295,1,50,1,1,1,3,Churn Risk Customers
CUST008,314,1,100,1,1,2,4,Churn Risk Customers
CUST009,20,1,600,5,1,4,10,Potential Customers
CUST010,87,1,200,4,1,3,8,Potential Customers
CUST011,322,1,100,1,1,2,4,Churn Risk Customers
CUST012,64,1,75,5,1,2,8,Potential Customers
CUST013,150,1,1500,3,1,5,9,Potential Customers
CUST014,350,1,120,1,1,3,5,Churn Risk Customers
CUST015,351,1,2000,1,1,5,7,Churn Risk Customers
CUST016,319,1,1500,1,1,5,7,Churn Risk Customers
CUST017,255,1,100,2,1,2,5,Churn Risk Customers
CUST018,247,1,50,2,1,1,4,Churn Risk Customers
CUST019,108,1,50,4,1,1,6,Churn Risk Customers
CUST020,58,1,900,5,1,4,10,Potential Customers
CUST021,353,1,500,1,1,4,6,Churn Risk Customers
CUST022,79,1,100,4,1,2,7,Churn Risk Customers
CUST023,265,1,120,2,1,3,6,Churn Risk Customers
CUST024,34,1,300,5,1,4,10,Potential Customers
CUST025,7,1,50,5,1,1,7,Churn Risk Customers
CUST026,87,1,1000,4,1,4,9,Potential Customers
CUST027,152,1,50,3,1,1,5,Churn Risk Customers
CUST028,254,1,500,2,1,4,7,Churn Risk Customers
CUST029,137,1,30,4,1,1,6,Churn Risk Customers
CUST030,65,1,900,5,1,4,10,Potential Customers
CUST031,224,1,1200,3,1,5,9,Potential Customers
CUST032,363,1,90,1,1,2,4,Churn Risk Customers
CUST033,285,1,100,2,1,2,5,Churn Risk Customers
CUST034,9,1,150,5,1,3,9,Potential Customers
CUST035,150,1,900,3,1,4,8,Potential Customers
CUST036,192,1,900,3,1,4,8,Potential Customers
CUST037,224,1,75,3,1,2,6,Churn Risk Customers
CUST038,287,1,200,2,1,3,6,Churn Risk Customers
CUST039,256,1,120,2,1,3,6,Churn Risk Customers
CUST040,194,1,50,3,1,1,5,Churn Risk Customers
CUST041,314,1,50,1,1,1,3,Churn Risk Customers
CUST042,319,1,900,1,1,4,6,Churn Risk Customers
CUST043,172,1,300,3,1,4,8,Potential Customers
CUST044,317,1,25,1,1,1,3,Churn Risk Customers
CUST045,183,1,30,3,1,1,5,Churn Risk Customers
CUST046,190,1,1200,3,1,5,9,Potential Customers
CUST047,57,1,1500,5,1,5,11,Potential Customers
CUST048,231,1,900,2,1,4,7,Churn Risk Customers
CUST049,344,1,1000,1,1,4,6,Churn Risk Customers
CUST050,131,1,75,4,1,2,7,Churn Risk Customers
CUST051,92,1,75,4,1,2,7,Churn Risk Customers
CUST052,303,1,300,1,1,4,6,Churn Risk Customers
